Tumor,Radius,Texture,Perimeter,Area,Smoothness,Compactness,Concavity,Concave Points,Symmetry,Fractal Dimension,Radius Variance,Texture Variance,Perimeter Variance,Area Variance,Smoothness Variance,Compactness Variance,Concavity Variance,Concave Points Variance,Symmetry Variance,Fractal Dimension Variance
1,18.2,21.5,120.0,1050.0,0.11,0.19,0.24,0.11,0.21,0.07,0.72,1.1,4.8,92.0,0.007,0.042,0.051,0.017,0.024,0.006
1,20.5,18.0,135.2,1300.0,0.1,0.16,0.18,0.09,0.19,0.06,0.85,0.9,6.2,115.0,0.006,0.035,0.038,0.014,0.021,0.005
1,17.5,23.8,112.5,950.0,0.12,0.21,0.27,0.13,0.24,0.08,0.65,1.4,4.2,85.0,0.008,0.048,0.055,0.019,0.028,0.007
1,19.8,22.2,130.0,1200.5,0.11,0.17,0.21,0.12,0.22,0.06,0.78,1.2,5.5,108.0,0.006,0.039,0.045,0.016,0.023,0.005
0,12.5,16.2,80.0,480.0,0.08,0.07,0.04,0.03,0.18,0.05,0.28,0.8,2.1,22.0,0.004,0.018,0.022,0.009,0.016,0.003
0,11.0,17.5,70.2,360.0,0.09,0.09,0.05,0.02,0.17,0.06,0.22,1.1,1.9,16.0,0.005,0.022,0.027,0.008,0.019,0.004
0,13.2,15.1,85.0,540.0,0.08,0.06,0.03,0.04,0.16,0.05,0.32,0.7,2.4,28.0,0.004,0.015,0.018,0.01,0.015,0.002
0,10.8,18.4,68.0,320.5,0.09,0.08,0.05,0.03,0.18,0.06,0.2,0.9,1.8,14.0,0.005,0.021,0.025,0.007,0.018,0.003
0,12.0,14.8,77.5,450.4,0.08,0.07,0.04,0.03,0.17,0.05,0.25,0.8,2.2,20.0,0.004,0.017,0.02,0.008,0.017,0.003
0,11.5,19.0,74.3,400.1,0.08,0.06,0.04,0.02,0.16,0.06,0.21,1.0,1.7,18.0,0.004,0.02,0.023,0.008,0.02,0.004
